0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/online-gia%CC%89m-so%CC%82%CC%81c-1x.png HTTP/1.1" 404 194
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/iconinvitechat_2.v201901000046.png HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/css/index.css HTTP/1.1" 404 4
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:42 +0700] "GET /sample-project/plugins/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 62472
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:42 +0700] "GET /sample-project/images/favicon.ico HTTP/1.1" 200 15086
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:54 +0700] "GET /sample-project/brand HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:55 +0700] "GET /sample-project/css/brand.css HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:55 +0700] "GET /sample-project/images/image-demo.png HTTP/1.1" 200 7227
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:55 +0700] "GET /sample-project/js/brand.js HTTP/1.1" 200 8124
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:55 +0700] "GET /sample-project/brand HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:55 +0700] "GET /brand/api/findAll/1 HTTP/1.1" 404 1032
