127.0.0.1 - - [17/Aug/2020:18:49:57 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:49:59 +0700] "GET /sample-project/ HTTP/1.1" 200 98732
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:00 +0700] "GET /sample-project/vendor/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 179
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/brand HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/brand HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/vendor/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 179
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/huawei.jpg HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/vivo-Phone-logo3-600x600.png HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/HTC%20600x600.png HTTP/1.1" 404 145
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/assus.png HTTP/1.1" 404 137
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/realme.png HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/vsmart.png HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/sony_og_img.jpg HTTP/1.1" 404 143
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/xiaomilogo.png HTTP/1.1" 404 142
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/Nokia-Logo-600x600.jpg HTTP/1.1" 404 150
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/LG-logo-600x600.jpg HTTP/1.1" 404 147
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/blackberry-logo.jpg HTTP/1.1" 404 147
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/oplogo.jpg HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/sslogo.jpg HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:05 +0700] "GET /sample-project/aplogo.png HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:09 +0700] "GET /sample-project/product HTTP/1.1" 500 298
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:11 +0700] "GET /sample-project/brand HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:11 +0700] "GET /sample-project/vendor/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 179
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:11 +0700] "GET /sample-project/realme.png HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:11 +0700] "GET /sample-project/vsmart.png HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:11 +0700] "GET /sample-project/vivo-Phone-logo3-600x600.png HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:11 +0700] "GET /sample-project/HTC%20600x600.png HTTP/1.1" 404 145
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:11 +0700] "GET /sample-project/assus.png HTTP/1.1" 404 137
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:11 +0700] "GET /sample-project/huawei.jpg HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [17/Aug/2020:18:50:11 +0700] "GET /sample-project/sony_og_img.jpg HTTP/1.1" 404 143
